ad_id,type,price,area,bedrooms,bathrooms,level,furnished,rent,city,region
Ad id 194265912,apartment,8500,131,3,2,3,no,yes,cairo,rehab city
Ad id 193812523,apartment,1000,220,3,2,10+,yes,yes,alexandria,stanley
Ad id 194280581,studio,15000,88,1,1,2,,yes,cairo,new cairo - el tagamoa
Ad id 194272217,apartment,15000,160,3,2,2,,yes,cairo,new cairo - el tagamoa
Ad id 194300652,apartment,18000,139,3,3,3,yes,yes,cairo,rehab city
Ad id 194287865,apartment,20000,200,3,3,2,,yes,cairo,new cairo - el tagamoa
Ad id 193009315,apartment,17000,280,3,3,2,no,yes,alexandria,roushdy
Ad id 194289187,apartment,20000,133,2,2,1,no,yes,cairo,new cairo - el tagamoa
Ad id 178912333,apartment,32000,145,2,2,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194340199,apartment,1400000,140,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 194340159,apartment,4950000,150,3,2,1,no,no,cairo,new cairo - el tagamoa
Ad id 194210081,studio,320000,30,1,1,3,yes,no,red sea,hurghada
Ad id 192648161,apartment,2700000,200,4,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194340123,apartment,240000,115,3,1,3,no,no,cairo,new cairo - el tagamoa
Ad id 194340088,apartment,6500000,155,2,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194332983,apartment,900000,160,3,2,2,no,no,cairo,obour city
Ad id 144653711,apartment,2600000,210,3,2,10,yes,no,cairo,nasr city
Ad id 194340044,apartment,985000,150,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194340032,apartment,400000,185,3,2,3,,no,cairo,new cairo - el tagamoa
Ad id 194340008,apartment,360000,110,2,2,2,,no,alexandria,agami
Ad id 194339779,apartment,695000,80,3,1,6,,no,dakahlia,mansura
Ad id 194333366,apartment,800000,160,4,2,5,no,no,giza,6th of october
Ad id 194339976,duplex,3000000,330,4,4,1,,no,cairo,new cairo - el tagamoa
Ad id 194300493,apartment,280000,130,2,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194339909,apartment,4000000,199,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 194339845,apartment,3075000,162,3,3,4,no,no,cairo,new cairo - el tagamoa
Ad id 194339800,apartment,1414705,132,3,2,4,no,no,cairo,maadi
Ad id 194339740,apartment,3800000,140,2,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 165352705,apartment,685500,150,3,2,1,,no,giza,6th of october
Ad id 148936811,apartment,1537700,205,3,3,1,,no,giza,6th of october
Ad id 194339699,apartment,470000,126,3,2,5,no,no,giza,hadayek al-ahram
Ad id 194339663,apartment,650000,150,3,2,8,yes,no,giza,faisal
Ad id 194305127,duplex,3500000,260,4,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 164646058,apartment,688000,150,3,2,1,,no,giza,6th of october
Ad id 151955895,apartment,1020000,200,3,2,1,,no,giza,6th of october
Ad id 148694183,apartment,685000,150,3,2,1,,no,giza,6th of october
Ad id 147224224,apartment,1538000,206,3,3,3,,no,giza,6th of october
Ad id 194339583,apartment,1250000,130,3,2,5,no,no,cairo,new cairo - el tagamoa
Ad id 152862134,apartment,754000,150,3,2,3,,no,giza,6th of october
Ad id 194339539,apartment,420000,130,3,2,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194339536,apartment,5000000,127,2,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194339490,apartment,1100000,140,3,2,1,no,no,cairo,new cairo - el tagamoa
Ad id 194339235,apartment,1200000,175,3,3,ground,no,no,cairo,obour city
Ad id 194339463,apartment,3000000,135,3,2,7,no,no,alexandria,shatby
Ad id 194339424,apartment,1150000,130,3,2,5,no,no,cairo,new cairo - el tagamoa
Ad id 147161229,apartment,685000,150,3,2,1,,no,giza,6th of october
Ad id 194339375,apartment,5300000,127,2,2,3,no,no,cairo,new cairo - el tagamoa
Ad id 194339367,apartment,1350000,150,3,2,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194320767,apartment,3921000,165,3,2,3,no,no,cairo,new cairo - el tagamoa
Ad id 194320184,apartment,430000,150,3,2,ground,,no,cairo,new cairo - el tagamoa
Ad id 194319939,apartment,360000,110,2,2,ground,,no,giza,sheikh zayed
Ad id 194317974,apartment,550000,100,1,1,6,yes,no,cairo,ain shams
Ad id 194317596,apartment,625000,135,3,1,5,no,no,giza,hadayek al-ahram
Ad id 194317362,apartment,2680000,234,4,3,2,no,no,cairo,new capital city
Ad id 194340026,apartment,4700,82,2,1,2,no,yes,cairo,madinaty
Ad id 194339985,apartment,5000,107,2,1,2,no,yes,cairo,madinaty
Ad id 194318788,apartment,15000,99,2,1,3,yes,yes,cairo,rehab city
Ad id 194339877,apartment,6000,130,3,2,2,no,yes,giza,sheikh zayed
Ad id 194339872,apartment,8000,175,3,2,4,no,yes,alexandria,kafr abdo
Ad id 194339784,apartment,21000,240,3,3,1,no,yes,cairo,new cairo - el tagamoa
Ad id 194334418,apartment,48000,82,2,1,1,no,yes,cairo,new heliopolis
Ad id 192784654,apartment,14000,85,3,1,ground,yes,yes,giza,dokki
Ad id 194339630,apartment,15000,99,2,1,2,yes,yes,cairo,rehab city
Ad id 194339624,apartment,12000,160,3,2,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194339480,apartment,7000,165,3,1,3,no,yes,alexandria,kafr abdo
Ad id 194338709,apartment,20000,300,4,3,1,no,yes,cairo,nasr city
Ad id 194336353,apartment,16000,90,2,1,1,yes,yes,cairo,rehab city
Ad id 194315750,apartment,5000,100,2,1,3,yes,yes,red sea,hurghada
Ad id 194285226,apartment,9500,175,3,3,6,no,yes,cairo,madinaty
Ad id 194284904,apartment,6500,135,3,2,1,no,yes,cairo,madinaty
Ad id 194246867,apartment,19000,165,3,3,1,,yes,cairo,new cairo - el tagamoa
Ad id 193795409,apartment,20000,208,3,3,3,no,yes,cairo,new cairo - el tagamoa
Ad id 193410162,apartment,13000,150,3,2,9,yes,yes,alexandria,smoha
Ad id 191326963,duplex,10000,350,3,3,ground,,yes,cairo,new cairo - el tagamoa
Ad id 190621694,apartment,400,250,3,3,4,,yes,cairo,nasr city
Ad id 184037124,apartment,500,200,3,3,4,yes,yes,cairo,new cairo - el tagamoa
Ad id 194339132,apartment,17000,90,2,1,1,,yes,cairo,rehab city
Ad id 194339025,studio,28000,100,1,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194338998,apartment,20000,136,3,2,1,yes,yes,cairo,rehab city
Ad id 194336718,apartment,14000,165,3,2,1,yes,yes,cairo,new cairo - el tagamoa
Ad id 194325982,apartment,24000,197,3,2,1,yes,yes,cairo,new cairo - el tagamoa
Ad id 194286948,apartment,2000,70,2,1,ground,,yes,beni suef,beni suef city
Ad id 194338889,duplex,34000,290,3,4,ground,no,yes,cairo,new cairo - el tagamoa
Ad id 194338799,apartment,600,125,2,2,10+,yes,yes,alexandria,miami
Ad id 194338755,apartment,17000,90,2,1,ground,yes,yes,cairo,rehab city
Ad id 194338713,apartment,5000,190,3,2,3,no,yes,giza,sheikh zayed
Ad id 194338621,duplex,30000,311,3,4,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194338464,apartment,17000,99,2,1,ground,yes,yes,cairo,rehab city
Ad id 194338416,apartment,9000,175,3,3,6,no,yes,cairo,madinaty
Ad id 194338408,apartment,600,190,3,2,3,yes,yes,cairo,nasr city
Ad id 194338368,apartment,9000,175,3,3,4,no,yes,cairo,madinaty
Ad id 194338362,apartment,5000,130,2,1,9,no,yes,cairo,heliopolis
Ad id 140159170,apartment,30000,200,3,3,3,yes,yes,cairo,maadi
Ad id 194338104,apartment,10500,145,3,2,5,no,yes,cairo,madinaty
Ad id 194338094,duplex,33000,300,3,3,ground,no,yes,cairo,new cairo - el tagamoa
Ad id 194338050,apartment,40000,280,3,5,3,yes,yes,giza,sheikh zayed
Ad id 194337870,studio,7000,60,1,1,ground,yes,yes,cairo,rehab city
Ad id 194337775,apartment,8500,149,3,3,ground,no,yes,cairo,madinaty
Ad id 194317140,apartment,625000,120,2,2,3,yes,no,cairo,badr city
Ad id 194315861,apartment,450000,146,3,1,8,,no,cairo,new nozha
Ad id 194304265,apartment,2595000,153,3,3,2,,no,cairo,new cairo - el tagamoa
Ad id 194302236,apartment,500000,140,3,2,3,no,no,cairo,badr city
Ad id 194302140,apartment,270000,90,3,1,ground,no,no,cairo,hadayek al-kobba
Ad id 194301775,apartment,2200000,215,3,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194301577,apartment,2770000,164,3,2,3,,no,cairo,new cairo - el tagamoa
Ad id 194301489,apartment,2750000,180,4,2,4,no,no,cairo,heliopolis
Ad id 194301436,apartment,4300000,230,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 194301378,apartment,100000,125,3,2,9,no,no,giza,mansuriyya
Ad id 194301250,apartment,800000,125,3,1,10,no,no,cairo,ain shams
Ad id 194301238,apartment,9000000,239,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 194285175,apartment,2162160,63,1,1,5,,no,cairo,new capital city
Ad id 194266433,apartment,1730000,152,3,3,2,no,no,cairo,madinaty
Ad id 194249300,apartment,6168835,217,4,2,5,,no,giza,6th of october
Ad id 194249277,apartment,7000000,210,3,3,2,,no,cairo,new cairo - el tagamoa
Ad id 194248855,apartment,2000000,194,3,3,highest,,no,cairo,new cairo - el tagamoa
Ad id 194248597,apartment,1600000,171,3,3,2,,no,cairo,new cairo - el tagamoa
Ad id 194231571,apartment,570000,166,3,2,ground,,no,cairo,new cairo - el tagamoa
Ad id 194231538,apartment,2300000,130,2,2,3,,no,giza,hadayek 6th of october
Ad id 194199582,apartment,3350000,190,3,3,4,no,no,alexandria,smoha
Ad id 194189637,apartment,1125000,125,3,1,3,no,no,alexandria,seyouf
Ad id 194163936,apartment,438350,162,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 194112842,apartment,460000,132,3,2,ground,,no,giza,sheikh zayed
Ad id 194065419,apartment,10762500,294,3,3,ground,,no,cairo,mokattam
Ad id 194065105,apartment,8500000,244,3,3,2,,no,cairo,mokattam
Ad id 194064484,apartment,8490000,223,3,3,1,,no,cairo,mokattam
Ad id 194062805,apartment,6800240,139,2,2,3,,no,cairo,mokattam
Ad id 194062017,apartment,7687500,221,3,3,4,,no,cairo,mokattam
Ad id 194061014,apartment,6931092,225,3,3,2,,no,cairo,mokattam
Ad id 194060507,apartment,12931503,314,3,3,ground,no,no,cairo,mokattam
Ad id 194060096,apartment,5322051,170,2,2,3,no,no,cairo,mokattam
Ad id 194006082,apartment,5596605,138,2,2,2,,no,cairo,new cairo - el tagamoa
Ad id 193985349,apartment,1502200,171,3,3,1,yes,no,cairo,new cairo - el tagamoa
Ad id 193876819,apartment,551000,213,3,2,2,,no,cairo,new cairo - el tagamoa
Ad id 193766136,apartment,6252500,200,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 193553702,penthouse,2850000,210,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 194337747,apartment,9000,200,3,2,4,yes,yes,cairo,nasr city
Ad id 193942805,duplex,40000,300,4,3,ground,no,yes,cairo,new cairo - el tagamoa
Ad id 194337719,apartment,4000,80,2,1,ground,no,yes,giza,hadayek 6th of october
Ad id 194327253,apartment,7500,131,3,2,1,no,yes,cairo,rehab city
Ad id 194305630,apartment,36000,289,4,4,1,no,yes,cairo,new cairo - el tagamoa
Ad id 194337546,apartment,2500,80,2,1,4,no,yes,giza,hadayek 6th of october
Ad id 194337179,apartment,25000,100,1,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194337160,studio,24000,100,1,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194337098,apartment,500,125,2,1,3,yes,yes,giza,6th of october
Ad id 194337095,apartment,6000,116,3,2,1,no,yes,cairo,madinaty
Ad id 194337065,apartment,7500,124,3,2,ground,,yes,cairo,madinaty
Ad id 194336966,duplex,35000,210,3,3,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 194336953,apartment,5500,96,2,2,5,,yes,cairo,madinaty
Ad id 194336902,apartment,10000,215,3,3,1,no,yes,giza,sheikh zayed
Ad id 194336888,duplex,25000,278,4,4,ground,,yes,cairo,new cairo - el tagamoa
Ad id 194336877,apartment,17000,140,3,2,3,yes,yes,cairo,madinaty
Ad id 194336839,apartment,20000,160,2,3,1,,yes,cairo,new cairo - el tagamoa
Ad id 194336788,apartment,15000,139,2,2,5,,yes,cairo,new cairo - el tagamoa
Ad id 194336756,apartment,14000,146,2,2,1,,yes,cairo,new cairo - el tagamoa
Ad id 194336710,apartment,25000,25,3,4,3,,yes,cairo,new cairo - el tagamoa
Ad id 194336670,apartment,23000,200,3,3,3,,yes,cairo,new cairo - el tagamoa
Ad id 194336650,apartment,16000,99,2,1,3,,yes,cairo,rehab city
Ad id 194336432,apartment,10000,70,3,2,6,yes,yes,cairo,nasr city
Ad id 194336424,apartment,6000,125,3,1,3,,yes,alexandria,smoha
Ad id 194336056,apartment,3500,130,4,2,1,no,yes,cairo,hadayek helwan
Ad id 194335552,room,7500,130,3,1,8,yes,yes,cairo,nasr city
Ad id 194335238,apartment,4240,132,3,2,2,no,yes,cairo,nasr city
Ad id 194316175,apartment,3500,170,3,2,3,no,yes,giza,faisal
Ad id 194265400,apartment,17000,138,2,2,2,,yes,cairo,new cairo - el tagamoa
Ad id 194251325,apartment,15000,139,2,2,5,,yes,cairo,new cairo - el tagamoa
Ad id 193654506,apartment,5500,185,3,1,2,yes,yes,giza,6th of october
Ad id 194336600,apartment,6500,102,2,1,4,,yes,cairo,new cairo - el tagamoa
Ad id 194336596,apartment,10000,200,3,3,3,no,yes,cairo,madinaty
Ad id 194336571,apartment,15000,220,3,2,1,no,yes,giza,sheikh zayed
Ad id 194336563,apartment,9000,220,3,3,ground,,yes,cairo,new cairo - el tagamoa
Ad id 194336520,apartment,7000,140,3,2,4,no,yes,cairo,madinaty
Ad id 194336511,studio,15000,90,1,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194336464,apartment,15000,79,2,1,3,yes,yes,cairo,madinaty
Ad id 194336441,apartment,7500,130,3,2,1,yes,yes,cairo,new cairo - el tagamoa
Ad id 194336436,apartment,25000,165,3,2,4,yes,yes,cairo,new cairo - el tagamoa
Ad id 194336381,apartment,21000,160,3,2,2,yes,yes,cairo,new cairo - el tagamoa
Ad id 193553649,penthouse,2750000,210,3,3,3,no,no,cairo,new cairo - el tagamoa
Ad id 193553588,apartment,2100000,180,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 193553555,apartment,2050000,180,3,3,1,no,no,cairo,new cairo - el tagamoa
Ad id 193535454,apartment,1325000,125,3,2,4,no,no,cairo,new cairo - el tagamoa
Ad id 193481448,apartment,1325000,125,3,2,4,,no,cairo,new cairo - el tagamoa
Ad id 193481389,apartment,1460000,128,2,2,4,no,no,cairo,new cairo - el tagamoa
Ad id 193481342,apartment,1900000,179,3,2,3,no,no,cairo,new cairo - el tagamoa
Ad id 193481315,apartment,1900000,179,3,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 193481257,duplex,2200000,274,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 193374198,apartment,5170000,170,3,3,2,,no,giza,6th of october
Ad id 193141214,apartment,3587500,97,1,1,ground,no,no,cairo,new cairo - el tagamoa
Ad id 193137392,apartment,5780604,96,1,1,ground,,no,cairo,new cairo - el tagamoa
Ad id 192327892,apartment,3600000,240,4,3,1,,no,cairo,new cairo - el tagamoa
Ad id 191831149,apartment,2483000,125,3,2,ground,,no,giza,sheikh zayed
Ad id 188552574,apartment,2800000,225,3,3,2,no,no,cairo,shorouk city
Ad id 179307134,apartment,3400000,144,4,2,2,,no,giza,sheikh zayed
Ad id 179100076,apartment,2700000,130,3,2,ground,,no,v,(
Ad id 194339325,apartment,1200000,175,3,2,2,,no,giza,hadayek al-ahram
Ad id 194339320,apartment,2708103,130,3,2,1,no,no,cairo,new cairo - el tagamoa
Ad id 194339292,penthouse,6700000,200,3,3,1,no,no,cairo,new cairo - el tagamoa
Ad id 194339290,apartment,1200000,130,3,2,3,no,no,cairo,new cairo - el tagamoa
Ad id 194306548,apartment,124000,128,2,2,1,no,no,cairo,new cairo - el tagamoa
Ad id 194339198,apartment,930000,146,3,2,1,,no,giza,hadayek al-ahram
Ad id 194339142,apartment,1900000,144,3,2,3,no,no,alexandria,smoha
Ad id 194339099,apartment,1450000,140,3,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194339090,apartment,1798211,155,3,3,3,no,no,cairo,new capital city
Ad id 194339082,apartment,880000,200,3,2,2,no,no,giza,haram
Ad id 194338971,apartment,3750000,199,3,3,2,no,no,cairo,new cairo - el tagamoa
Ad id 194338509,duplex,4700000,278,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194337571,apartment,3350000,141,2,2,3,no,no,cairo,new cairo - el tagamoa
Ad id 194200727,apartment,648000,176,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194339067,apartment,6107000,135,3,3,1,no,no,cairo,new cairo - el tagamoa
Ad id 194339017,apartment,825000,130,3,2,5,no,no,cairo,new cairo - el tagamoa
Ad id 194336697,apartment,3500000,133,2,2,3,yes,no,cairo,new cairo - el tagamoa
Ad id 194336017,apartment,2450000,133,2,2,2,no,no,cairo,new cairo - el tagamoa
Ad id 194333203,apartment,1150000,115,2,1,6,,no,beheira,damanhour
Ad id 194318933,apartment,238000,114,3,2,1,no,no,cairo,new cairo - el tagamoa
Ad id 194338941,apartment,1070000,115,3,2,ground,no,no,cairo,new cairo - el tagamoa
Ad id 194337037,apartment,348000,155,3,3,ground,no,no,cairo,new cairo - el tagamoa
Ad id 192145557,apartment,4000,170,3,2,3,,yes,giza,haram
Ad id 194336338,duplex,30000,200,3,3,5,yes,yes,cairo,new cairo - el tagamoa
Ad id 190735069,apartment,45000,360,6,3,6,,yes,cairo,nasr city
Ad id 194336294,apartment,17999,141,3,2,4,yes,yes,cairo,madinaty
Ad id 194336289,studio,16000,90,1,1,3,yes,yes,cairo,new cairo - el tagamoa
Ad id 194336258,apartment,5000,80,2,1,4,no,yes,cairo,madinaty
Ad id 194322601,apartment,10000,108,3,2,ground,yes,yes,cairo,rehab city
Ad id 194336197,apartment,35000,200,4,3,ground,yes,yes,giza,sheikh zayed
Ad id 194336188,apartment,7500,135,3,2,3,no,yes,cairo,madinaty
Ad id 194336121,apartment,24000,160,3,2,1,yes,yes,cairo,new cairo - el tagamoa
Ad id 194335992,apartment,10000,100,2,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194335989,apartment,2000,100,2,1,2,no,yes,alexandria,bacchus
Ad id 194335943,apartment,4500,100,3,1,2,yes,yes,cairo,badr city
Ad id 194335936,apartment,9000,136,3,2,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194335919,apartment,23000,100,1,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194335835,apartment,12500,90,2,1,2,,yes,cairo,rehab city
Ad id 194335801,apartment,15000,157,3,2,4,yes,yes,cairo,rehab city
Ad id 194335740,apartment,15000,265,3,3,ground,no,yes,cairo,madinaty
Ad id 194335683,apartment,22000,90,2,1,2,yes,yes,cairo,rehab city
Ad id 194335582,apartment,3650,115,3,1,6,no,yes,cairo,nasr city
Ad id 173208771,apartment,4000,71,2,1,4,,yes,giza,sheikh zayed
Ad id 194272815,apartment,12000,90,2,1,3,yes,yes,cairo,rehab city
Ad id 194335464,apartment,22000,350,5,3,1,yes,yes,cairo,new cairo - el tagamoa
Ad id 194335322,apartment,6500,250,4,2,ground,,yes,giza,hadayek al-ahram
Ad id 194335224,apartment,10000,220,3,2,5,no,yes,cairo,new cairo - el tagamoa
Ad id 194335173,apartment,12000,220,3,2,5,no,yes,cairo,new cairo - el tagamoa
Ad id 194335110,studio,22000,100,1,1,ground,yes,yes,cairo,new cairo - el tagamoa
Ad id 194335006,apartment,4000,85,2,1,2,yes,yes,cairo,badr city
Ad id 148677576,apartment,300,90,2,1,4,yes,yes,alexandria,asafra
Ad id 194334882,apartment,3000,80,2,1,ground,no,yes,giza,hadayek 6th of october
Ad id 177288447,apartment,450,130,3,2,10+,yes,yes,alexandria,mandara
Ad id 187760876,apartment,700,220,3,2,3,yes,yes,giza,mohandessin
Ad id 187806826,apartment,750,220,3,2,1,yes,yes,giza,mohandessin
Ad id 194334753,apartment,10000,200,3,2,highest,,yes,alexandria,stanley
Ad id 181151213,duplex,45000,525,10+,4,1,yes,yes,cairo,maadi
Ad id 194315455,apartment,5200,135,2,1,2,yes,yes,alexandria,raml station
Ad id 194315170,apartment,11000,220,3,2,5,no,yes,cairo,new cairo - el tagamoa
Ad id 194312486,apartment,45000,230,3,3,5,yes,yes,giza,mohandessin
Ad id 194300036,apartment,11000,180,2,2,10,yes,yes,cairo,nasr city
Ad id 194299866,apartment,5500,200,3,2,3,no,yes,cairo,mokattam
Ad id 194258539,apartment,3000,105,2,1,2,no,yes,cairo,badr city
